ID,Тип,Артикул,Имя,Описание,Изображение,Названия атрибутов,Значения атрибутов
31067662,Обувь,31067662,кроссовки ReactX Rejuven8 Midnight Navy/Comet Blue,"голубой эффект омбре перфорация ребристая подошва без застежки логотип Swoosh изогнутая форма Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок. Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок, о которых мечтают коллекционеры и любители streetwear по всему миру.",https://cdn-images.farfetch-contents.com/31/06/76/62/31067662_60972405_1000.jpg,Стиль;Aesthetics,На каждый день;classic
24184032,Обувь,24184032,кроссовки Cloudtilt Black/Ivory,"белый/черный система быстрой шнуровки сетчатый верх уплотненная щиколотка логотип сбоку закругленный носок стелька с логотипом подошва CloudTec Phase™? массивная резиновая подошва Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок. Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок, о которых мечтают коллекционеры и любители streetwear по всему миру.",https://cdn-images.farfetch-contents.com/24/18/40/32/24184032_58380925_1000.jpg,Conscious;Стиль,Оценка Good On You: 3 из 5;На каждый день
31036292,Обувь,31036292,кроссовки Cloudtilt LOEWE 2,"белый/зеленый подошва CloudTec® шнуровка текстильный верх петля для подтягивания низкая щиколотка Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок. Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок, о которых мечтают коллекционеры и любители streetwear по всему миру.",https://cdn-images.farfetch-contents.com/31/03/62/92/31036292_61322830_1000.jpg,Стиль;Aesthetics,На каждый день;streetwear
31531468,Обувь,31531468,кроссовки Vomero 18 Black,"черный амортизация Zoom Air сетчатый верх шнуровка резиновая подошва скульптурная подошва Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок. Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок, о которых мечтают коллекционеры и любители streetwear по всему миру.",https://cdn-images.farfetch-contents.com/31/53/14/68/31531468_60899037_1000.jpg,Стиль;Знаковые модели;Aesthetics,На каждый день;zoom;classic
23972821,Обувь,23972821,кроссовки Dunk Low NBA Paris,"оливково-зеленый/белый кожа/искусственная кожа логотип Nike Swoosh логотип сбоку нашивка с логотипом на язычке контрастный задник с логотипом дизайн колор-блок закругленный носок перфорированный носок шнуровка спереди уплотненная щиколотка стелька с логотипом промежуточная амортизирующая подошва резиновая подошва Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок. Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок, о которых мечтают коллекционеры и любители streetwear по всему миру.",https://cdn-images.farfetch-contents.com/23/97/28/21/23972821_54101774_1000.jpg,Conscious;Стиль;Aesthetics;Знаковые модели,Оценка Good On You: 3 из 5;На каждый день;streetwear;dunk
29997464,Обувь,29997464,кроссовки Mach 6,черный шнуровка спереди резиновая подошва логотип сбоку миндалевидный носок,https://cdn-images.farfetch-contents.com/29/99/74/64/29997464_59362561_1000.jpg,Стиль;Aesthetics,На каждый день;streetwear
20138446,Обувь,20138446,кроссовки Shaq Attaq,"Расцветка Cloud White, расцветка Core Black, золотистый, контрастные вставки, стиль колор-блок, перфорация, вышитый логотип сбоку, шнуровка спереди, задник с логотипом, тисненый логотип на язычке, закругленный носок, стелька с логотипом и массивная резиновая подошва.",https://cdn-images.farfetch-contents.com/20/13/84/46/20138446_51336413_1000.jpg,Стиль;Aesthetics;Форма носка;Материал и состав,На каждый день;streetwear;Круглый;Кожа
31597006,Обувь,31597006,кроссовки Tokyo из коллаборации с Y-3,черный кожаный верх три полоски знаковый логотип закругленный носок плоская подошва,https://cdn-images.farfetch-contents.com/31/59/70/06/31597006_60963566_1000.jpg,Стиль;Aesthetics,На каждый день;edgy
30629206,Обувь,30629206,кроссовки со вставками,зеленый вставки из замши и кожи черные вставки шнуровка подошва с заклепками,https://cdn-images.farfetch-contents.com/30/62/92/06/30629206_60757494_1000.jpg,Стиль;Aesthetics,На каждый день;edgy
27582434,Обувь,27582434,кроссовки Gel-1130 Sheet Rock Black,"антрацитово-серый шнуровка спереди полоски Tiger закругленный носок язычок с логотипом стелька с логотипом резиновая подошва знаковая технология TRUSSTIC™ знаковая технология GEL™ Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок. Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок, о которых мечтают коллекционеры и любители streetwear по всему миру.",https://cdn-images.farfetch-contents.com/27/58/24/34/27582434_58563568_1000.jpg,Conscious,Оценка Good On You: 3 из 5
31378062,Обувь,31378062,кроссовки CloudSwift 4,светло-серый шнуровка петля для подтягивания низкая модель,https://cdn-images.farfetch-contents.com/31/37/80/62/31378062_60918198_1000.jpg,Стиль;Aesthetics,На каждый день;streetwear
29565163,Обувь,29565163,кроссовки Yamano 3,темно-синий шнуровка спереди логотип на стельке,https://cdn-images.farfetch-contents.com/29/56/51/63/29565163_58894849_1000.jpg,Стиль,На каждый день
24433524,Обувь,24433524,кроссовки 2002R,черный/разноцветный телячья кожа дизайн со вставками сетчатые вставки светоотражающие детали нашивка с логотипом сбоку вышитый логотип спереди нашивка с логотипом на язычке логотип на пятке перфорация закругленный носок шнуровка спереди сетчатая подкладка уплотненная щиколотка стелька с логотипом массивная резиновая подошва подошва с технологией N-ergy,https://cdn-images.farfetch-contents.com/24/43/35/24/24433524_54559704_1000.jpg,Стиль;Aesthetics;Conscious;Знаковые модели,На каждый день;streetwear;Оценка Good On You: 3 из 5;2002R
